1	Bptf	Cbfa2t3h	Cdkn2a	Dnmt3a	Eif2b1	Erg	Ets1	Ets2	Etv6	Ezh2	Fli1	Foxo3a	Gata1	Gata2	Gata3	Gfi1	Gfi1b	Hhex	HoxA5	HoxA9	HoxB4	Ikzf1	Kit	Ldb1	Lmo2	Lyl1	Mecom	Meis1	Mitf	Mpl	Mrpl19	Myb	Nfe2	Notch1	Pbx1	Polr2a	Prdm16	Procr	Runx1	Sfpi1	Sh2b3	Smarcc1	Smarcc2	Tal1	Tcf7	Tet2	Ubc	Vwf
shGata2_001	2.811019545	1.034608195	15	2.715487055	0.281641375	15	15	1.713179535	0.601431605000002	15	-1.327948335	0.238076795000001	1.634500245	15	15	15	0.617992385000001	15	15	15	15	-0.657112704999999	-3.269066665	0.842703475	-0.851735204999999	-1.479389935	15	-0.767116144999999	15	1.537890805	-0.320965385000001	-3.083362015	-0.796406285	15	0.044416205000001	2.978086905	15	15	0.309742155000002	2.337363315	15	-0.995814034999999	2.711664385	1.899612965	15	2.998900925	-2.978086905	2.597942145
shGata2_002	4.998685255	4.241771515	15	4.097672255	2.986659505	3.833696325	15	4.860285675	3.495020835	5.865030515	1.827987835	1.932708135	15	15	12.471888235	15	4.174625345	15	6.506761525	15	6.010770695	3.070475535	-1.928129955	3.503217625	3.365084845	1.330838805	15	1.375408225	4.090544225	5.443189005	4.686613295	1.109528945	1.795799885	15	4.669048045	2.136580685	15	4.905264405	3.121094395	4.966948875	15	2.442532465	5.472981355	3.527082815	15	2.795519265	-2.136580685	15
shGata2_003	3.804196015	3.685649755	15	15	4.032211025	4.346175865	15	15	4.110501555	15	1.578679595	0.461305355	15	3.782952305	4.150269005	15	15	1.967802195	15	15	15	1.360666195	0.795646165000001	3.714825365	1.130823285	0.867024104999999	3.819641025	-0.181080314999999	15	15	15	4.489371445	4.281851385	7.508596445	3.055225265	1.752525015	15	2.512517025	4.395795215	3.498719195	15	0.862694255000001	2.623634145	0.557786915000001	15	5.780076595	-1.752525015	15
shGata2_004	3.304916175	2.251340275	6.547964155	3.645239645	2.770949815	1.831228985	15	2.901690915	2.009833645	7.661935405	0.559085485000001	0.590644505	15	4.850691205	15	15	4.138522935	15	15	15	15	1.873885595	-0.926990515	4.430641915	2.900862375	0.645920495	7.443471545	1.876592075	5.573905145	15	2.256907195	1.144419735	1.913617065	7.334399935	15	2.014454625	15	5.586530015	3.236484615	3.934928625	15	0.546693385000001	4.308418755	4.176189075	15	4.571140745	-2.014454625	15
shGata2_005	3.073659835	2.101598405	15	5.340943295	1.566877825	15	15	3.367159205	2.375809235	6.690665385	-0.842640794999999	0.365549314999999	3.665264885	3.921933505	15	15	1.140936475	2.201658665	4.858359145	15	4.833511455	1.053507045	-1.765266555	1.658639975	2.111778675	-1.252128295	15	-0.998045125000001	15	1.072314225	3.118967725	-0.909096125	1.300494695	15	1.793510765	2.110086225	15	15	2.095884785	3.585298665	15	0.250175935	4.451482055	0.116106035	15	3.769062165	-2.110086225	15
shGata2_006	3.58666285	15	15	5.09612161	1.12630425	1.49384904	15	4.29567074	1.50276433	15	-1.53014033	-0.78315186	3.10161164	3.94256539	3.54237038	15	15	15	3.92820239	15	15	2.11933138	-0.905412250000001	3.29607667	1.92516476	2.17720082	15	-0.76238043	15	1.17152432	2.22709994	0.33877304	0.708428869999999	15	2.4342634	2.4441565	15	15	1.22875242	3.90517019	15	0.793527770000001	4.08942212	1.12954765	15	2.89022261	-2.4441565	15
shGata2_007	5.5948866	15	15	2.89852156	3.06227598	4.4289513	15	3.55096259	3.6698094	6.64082154	1.83194885	0.665251489999999	15	4.54231067	15	15	5.77634664	15	15	15	15	2.19330669	-0.936794130000001	3.77750699	2.66369957	-0.60594393	15	0.35332927	15	15	2.04907036	2.17458922	2.86079358	15	15	3.15722322	15	15	4.15870357	2.2718084	15	0.759209480000001	2.72434927	2.15825006	15	2.90251544	-3.15722322	15
shGata2_008	4.064982375	3.192143005	15	2.914678695	2.241957525	2.243829715	15	2.628450365	2.935791465	15	0.769845885000002	-0.0256105249999994	15	2.381971555	6.634380275	15	15	15	15	15	3.921995545	2.294992765	-0.818981395	3.634422745	0.864466245000003	1.459793865	15	0.105758575000001	15	2.861527445	3.423181125	1.560801105	3.164177555	15	4.784341915	2.389083135	15	4.239376195	5.201510405	3.984023745	15	1.937483685	4.017632835	1.477166165	15	4.658801725	-2.389083135	15
shGata2_009	3.042538175	5.990955575	15	3.235508575	1.899053935	15	15	4.314367275	1.666145545	6.809180775	-2.060607545	-0.594120425000002	5.061751725	2.420531795	15	15	3.733916075	3.576026945	15	15	15	1.504805315	-1.635740885	2.403198915	4.004814955	-0.331029875	15	-0.569721635000001	4.525688985	1.050831715	2.607176105	-0.604689405000002	1.221892285	15	0.692282974999999	1.871094165	15	15	1.440221805	4.812243675	15	0.702450494999999	5.285601665	0.887615714999997	15	3.544489745	-1.871094165	15
shGata2_010	4.14295976	6.46294913	15	4.48569604	2.0494767	15	15	5.309583	3.14465039	15	-0.95637498	0.845039530000001	2.28146085	15	15	15	2.58311565	3.96980859	15	15	15	1.57615268	-0.92358475	2.44234388	2.151592	3.55936056	15	-0.296203309999999	15	2.59967323	3.61921882	-1.03591908	0.992145270000002	15	2.18099015	1.92783792	15	15	1.7969166	5.56408287	15	1.27957552	4.42678916	2.87811283	15	5.57288204	-1.92783792	5.23955462
