1	Bptf	Cbfa2t3h	Cdkn2a	Dnmt3a	Eif2b1	Erg	Ets1	Ets2	Etv6	Ezh2	Fli1	Foxo3a	Gata1	Gata2	Gata3	Gfi1	Gfi1b	Hhex	HoxA5	HoxA9	HoxB4	Ikzf1	Kit	Ldb1	Lmo2	Lyl1	Mecom	Meis1	Mitf	Mpl	Mrpl19	Myb	Nfe2	Notch1	Pbx1	Polr2a	Prdm16	Procr	Runx1	Sfpi1	Sh2b3	Smarcc1	Smarcc2	Tal1	Tcf7	Tet2	Ubc	Vwf
Gfi1_001	3.18430176	5.33819327	5.33944101	5.06415705	2.3319605	15	15	4.98524354	4.06997247	6.77522841	-0.54986698	1.31022006	15	3.7205884	3.09661707	-1.9497917	15	15	4.90613297	15	15	2.26496103	-1.21229082	1.20137737	3.04916429	-0.52929907	15	-0.24816751	15	-0.3811469	0.8619032	-0.54345726	0.57879351	15	15	1.56054288	15	15	2.46300424	2.84301423	15	-0.04741308	3.61776751	2.6107893	15	2.19529976	-1.56054288	15
Gfi1_003	3.02819828	3.49371357	15	15	0.72074696	2.44291834	15	2.03184344	1.01724737	15	-2.00193886	0.11093635	15	0.65650545	15	-2.06846833	15	15	15	15	15	0.97027566	-3.05812105	0.06521211	0.24451202	-1.92736374	15	0.36217048	2.71134955	-0.6265726	15	-2.03850174	0.69598067	15	3.47706893	2.19382769	15	15	-0.27077798	2.71615186	15	-0.37551165	3.0484757	15	15	1.00048755	-2.19382769	15
Gfi1_004	3.461009565	1.269002315	15	2.179661595	1.150584705	15	15	2.949067155	2.256519065	15	-1.483910345	0.061525045	15	1.615048045	15	-2.382032195	15	15	15	15	3.648125815	2.417609435	-1.570393585	2.883439265	0.466699545	-0.484794545	15	-1.807779055	15	-0.575501415	1.955952405	-0.760335945	-0.254073045	15	0.727095155	1.884722135	15	15	1.240655385	2.847049775	8.501281305	1.047915305	3.303346355	1.056717705	15	2.575985525	-1.884722135	2.801537155
Gfi1_005	2.799959755	2.954466835	15	11.56579131	0.793796025	15	15	4.273486015	2.472127175	5.261087515	-0.774086855	1.037634705	15	2.200159415	3.694945555	-1.977398675	15	1.538142445	15	15	15	1.389248285	-1.923960195	1.352958425	0.676546805	-1.277170475	15	0.027087685	4.173053895	0.590024525	1.113458465	-0.586297645	0.355376495	15	2.468070875	2.135646035	15	15	2.351378345	2.909213605	15	0.486116985	4.770626005	1.144275005	15	3.142753595	-2.135646035	15
Gfi1_006	3.15884611	1.45112298	15	1.87197637	2.02114166	3.24446249	7.55327086	4.50483173	2.42236722	15	-0.9488864	-0.68629649	2.47352359	2.8342428	15	-2.13901635	15	15	15	15	15	1.73615865	-1.55837198	2.53329204	1.34907553	0.05218368	15	0.1216121	3.47045622	-0.26350897	2.04994888	-0.45557604	0.70607521	15	1.4912472	1.74865326	15	15	1.8156437	2.7609467	15	1.24461458	2.91796129	0.35531648	15	3.1886671	-1.74865326	2.04554506
Gfi1_007	3.79319384	1.98299568	4.79437741	3.17623261	3.65906361	2.03259988	15	3.07842602	0.91305984	15	-0.84971678	-0.51467657	3.31283381	0.972312	15	-2.42072744	15	15	15	15	15	1.0892879	-1.88218197	1.95224322	0.10762569	-1.46414021	15	-0.59199814	15	-0.14912863	2.28932671	-1.45703652	-0.31439215	15	0.79363427	1.16275698	15	15	3.13670067	3.49120276	15	0.5099829	2.81278552	0.41822867	15	2.59302998	-1.16275698	4.44811916
Gfi1_008	3.11673599	1.55788386	15	3.89905692	2.1324456	15	15	3.70005741	1.43730893	5.77945314	0.21952837	1.09890824	15	2.38696126	15	-2.78096721	15	1.70049564	15	15	15	1.62710141	-2.72781019	2.67213946	1.11646832	0.92308978	15	0.00218857	15	3.39959578	15	-1.80956755	0.48229752	15	1.57194338	1.81165813	15	15	0.81958141	3.85180411	15	1.34000002	3.11459392	-0.77004284	15	2.02442214	-1.81165813	15
Gfi1_009	3.620716355	1.481245175	15	4.119328775	2.488236055	15	15	2.100987605	1.728720295	15	0.407466275	1.319711985	3.938856575	2.387275305	15	-1.567043885	15	3.645886295	15	15	15	1.298662365	-1.416615935	2.959750315	2.538471415	-0.634751555	15	0.400315755	3.458437935	0.394832145	1.959181175	-1.597393875	0.465651895	15	2.264353115	1.893662185	15	15	0.934492445	2.747292665	15	1.086372945	2.273244955	1.414345605	15	3.193340535	-1.893662185	15
Gfi1_010	2.9574358	1.05679314	15	2.6742332	-0.01725304	15	15	2.38872084	1.09131251	15	-1.58661452	0.01827149	15	15	15	-2.89439811	15	15	15	15	15	0.65683501	-3.21490886	15	15	-2.44694086	15	-1.80885636	15	-0.6770072	0.8876139	-2.90640251	-1.14635035	15	0.7574243	1.30682037	15	15	1.38871018	3.48825846	15	-1.09385666	1.62125918	-1.44289534	15	15	-1.30682037	15
Gfi1_011	3.713235125	0.938424355	15	3.134409525	1.549296345	15	15	3.493710525	4.068309365	15	-0.110402815	-0.047592335	1.352293025	1.827306185	15	-2.725601935	15	2.999356985	4.312096455	15	15	0.970968895	-2.269682135	1.255434095	-0.185789665	-0.574532455	15	1.478715325	4.179247665	1.595725525	1.214930385	-1.514981925	0.496803455	15	1.873083705	1.593098845	15	15	2.668525475	3.466047235	15	0.693285125	3.292737395	1.041153995	15	2.861144945	-1.593098845	1.345639695
